"Story","Title","Result","Date","Stability","Duration (s)"
"User login","Successful login with valid credentials","ERROR","2026-06-10T08:22:49.2056352-05:00[America/Bogota]","0.0","6.64"
"User login","Failed login due to incorrect credentials","ERROR","2026-06-10T08:23:20.9500492-05:00[America/Bogota]","0.0","0.33"
"User login","Failed login due to empty fields","ERROR","2026-06-10T08:23:36.5727698-05:00[America/Bogota]","0.0","0.28"
"User login","Failed login due to unregistered user","ERROR","2026-06-10T08:23:46.1760798-05:00[America/Bogota]","0.0","0.25"
"Register user","Successful user registration","ERROR","2026-06-10T08:24:02.8848862-05:00[America/Bogota]","0.0","3.8"
"Register user","Failed registration due to already registered email","ERROR","2026-06-10T08:24:29.3347522-05:00[America/Bogota]","0.0","0.27"
"Register user","Failed registration due to invalid password","SUCCESS","2026-06-10T08:24:43.1852676-05:00[America/Bogota]","0.0","0.25"
"Register user","Failed registration due to empty fields","SUCCESS","2026-06-10T08:25:45.8446013-05:00[America/Bogota]","0.0","0.26"
"Register expense","Successful expense registration with valid data","SUCCESS","2026-06-10T08:25:56.1996906-05:00[America/Bogota]","0.0","10.01"
"Register expense","Failed expense registration due to empty amount","SUCCESS","2026-06-10T08:26:36.3667913-05:00[America/Bogota]","0.0","2.58"
"Register expense","Failed expense registration due to no category selected","SUCCESS","2026-06-10T08:26:55.7627802-05:00[America/Bogota]","0.0","2.36"
"Register income","Successful income registration with valid data","SUCCESS","2026-06-10T08:27:12.4640973-05:00[America/Bogota]","0.0","6.15"
"Register income","Failed income registration due to empty amount","SUCCESS","2026-06-10T08:27:47.087111-05:00[America/Bogota]","0.0","2.52"
"Register income","Failed income registration due to no category selected","SUCCESS","2026-06-10T08:28:06.760518-05:00[America/Bogota]","0.0","2.38"
"View transaction history","Successful history query with transactions","SUCCESS","2026-06-10T08:28:24.0750268-05:00[America/Bogota]","0.0","6.32"
